ordinal,card_id,recipe_id,material_a_id,material_a_name_ko,material_b_id,material_b_name_ko,branch,actor_id,actor_modifier_form,receptor_id,receptor_noun_form,rule_type,rule_key,law_pair,rule_text_ko,generated_name_ko,result_class,flag_count,flags
1,forge__burn_01__burn_02,burn_01|burn_02,burn_01,잉걸,burn_02,꺼진 심지,LAW,burn_01,달군,burn_02,심지,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,달군 심지,BURNOUT,0,
2,forge__burn_01__burn_03,burn_01|burn_03,burn_01,잉걸,burn_03,눌어붙은 재,LAW,burn_01,달군,burn_03,재,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,달군 재,BURNOUT,0,
3,forge__burn_01__burn_04,burn_01|burn_04,burn_01,잉걸,burn_04,남은 열,LAW,burn_01,달군,burn_04,열,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,달군 열,BURNOUT,0,
4,forge__burn_01__burn_05,burn_01|burn_05,burn_01,잉걸,burn_05,첫 불티,LAW,burn_01,달군,burn_05,불티,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,달군 불티,BURNOUT,0,
5,forge__burn_01__join_01,burn_01|join_01,burn_01,잉걸,join_01,엉킨 실,LAW,burn_01,달군,join_01,실,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 실,KINDLED,0,
6,forge__burn_01__join_02,burn_01|join_02,burn_01,잉걸,join_02,붙은 손,LAW,burn_01,달군,join_02,손,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 손,KINDLED,0,
7,forge__burn_01__join_03,burn_01|join_03,burn_01,잉걸,join_03,자란 매듭,LAW,burn_01,달군,join_03,매듭,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 매듭,KINDLED,0,
8,forge__burn_01__join_04,burn_01|join_04,burn_01,잉걸,join_04,이어진 그림자,LAW,burn_01,달군,join_04,그림자,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 그림자,KINDLED,0,
9,forge__burn_01__join_05,burn_01|join_05,burn_01,잉걸,join_05,겹친 소리,LAW,burn_01,달군,join_05,소리,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 소리,KINDLED,0,
10,forge__burn_01__odd_01,burn_01|odd_01,burn_01,잉걸,odd_01,걸어다니는 주전자,LAW,burn_01,달군,odd_01,주전자,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 주전자,KINDLED,0,
